Nom;Ville;IATA;OACI;Lat;Lon;Alt
Uray Airport;Uraj;URJ;USHU;60.10329818725586;64.82669830322266;190
Ivanovo South Airport;Ivanovo;IWA;UUBI;56.93939971923828;40.94079971313477;410
Longjia Airport;Changchun;CGQ;ZYCC;43.9962005615;125.684997559;706
Niigata Airport;Niigata;KIJ;RJSN;37.955898284899995;139.121002197;29
Johnston Atoll Airport;Johnston Island;JON;PJON;16.7285995483;-169.53399658200001;7
Smith Field;Fort Wayne IN;SMD;KSMD;41.14339828;-85.15280151;835
California Redwood Coast-Humboldt County Airport;Arcata CA;ACV;KACV;40.978101;-124.109;221
Albert J Ellis Airport;Jacksonville NC;OAJ;KOAJ;34.8292007446;-77.61209869380002;94
Tuscaloosa Regional Airport;Tuscaloosa AL;TCL;KTCL;33.220600128174;-87.611396789551;170
Dubuque Regional Airport;Dubuque IA;DBQ;KDBQ;42.40200043;-90.70950317;1077
Shun Tak Heliport;Hong Kong;HHP;VHST;22.289371490500002;114.152153015;107
Uru Harbour Airport;Atoifi;ATD;AGAT;-8.873330000000001;161.011002;0
Gwaunaru'u Airport;Auki;AKS;AGGA;-8.70257;160.682007;5
Ballalae Airport;Ballalae;BAS;AGGE;-6.9907449999999995;155.88665600000002;5
Fera/Maringe Airport;Fera Island;FRE;AGGF;-8.1075;159.576996;0
Babanakira Airport;Mbambanakira;MBU;AGGI;-9.7475004196167;159.83900451660156;0
Ngorangora Airport;Kirakira;IRA;AGGK;-10.4497003555;161.897994995;54
Santa Cruz/Graciosa Bay/Luova Airport;Santa Cruz (77);SCZ;AGGL;-10.72029972076416;165.7949981689453;18
Munda Airport;Munda;MUA;AGGM;-8.327969551086426;157.26300048828125;10
Nusatupe Airport;Gizo;GZO;AGGN;-8.09778022766;156.863998413;13
Mono Airport;Stirling Island;MNY;AGGO;-7.416940212249756;155.56500244140625;0
Rennell/Tingoa Airport;Rennell Island;RNL;AGGR;-11.533900260925293;160.06300354003906;0
Marau Airport;Marau;RUS;AGGU;-9.86166954041;160.824996948;0
Suavanao Airport;Suavanao;VAO;AGGV;-7.585559844970702;158.7310028076172;0
Kaghau Airport;Kagau Island;KGE;AGKG;-7.3305;157.585;30
Ramata Airport;Ramata;RBV;AGRM;-8.168060302734375;157.64300537109375;0
Buka Airport;Buka Island;BUA;AYBK;-5.422319889068604;154.67300415039062;11
Chimbu Airport;Kundiawa;CMU;AYCH;-6.024290084838867;144.9709930419922;4974
Daru Airport;Daru;DAU;AYDU;-9.086759567260001;143.207992554;20
Gurney Airport;Gurney;GUR;AYGN;-10.311499595599999;150.333999634;88
Girua Airport;Girua;PNP;AYGR;-8.80453968048;148.309005737;311
