Nom;Alias;IATA;OACI;Pays
Aviastar-Tu;\N;;TUP;Russia
AirBridge Cargo;\N;RU;ABW;Russia
ATUR;\N;;TUR;Ecuador
ATESA Aerotaxis Ecuatorianos;\N;;TXU;Ecuador
Austin Express;\N;;TXX;United States
Audi Air;\N;;AUD;AUDI AIR
Augusta Air Luftfahrtunternehmen;\N;;AUF;Germany
Abu Dhabi Amiri Flight;\N;MO;AUH;United Arab Emirates
Aeroflot-Nord;\N;5N;AUL;Russia
Air Atlantic Uruguay;\N;;AUM;Uruguay
Aviones Unidos;\N;;AUN;Mexico
Avia Business Group;\N;;AUP;Russia
Aero Servicios Expecializados;\N;;SVE;Mexico
Aurigny Air Services;\N;GR;AUR;United Kingdom
Aus-Air;\N;NO;AUS;Australia
Austral Lineas Aereas;\N;AU;AUT;Argentina
Aurora Aviation;\N;;AUU;AURORA AIR
Air Uganda International Ltd.;\N;;AUX;Uganda
Aerolineas Uruguayas;\N;;AUY;AUSA
Australian Airlines;\N;AO;AUZ;Australia
Avianca - Aerovias Nacionales de Colombia;\N;AV;AVA;AVIANCA
Aviation Beaufort;\N;;AVB;United Kingdom
Alamo Aviacion;\N;;AVD;ALAMO
Aviair Aviation Ltd.;\N;;AVF;Canada
Air Falcon;\N;;AVG;Djibouti
AV8 Helicopters;\N;;AVH;United Kingdom
Avia Traffic Company;\N;;AVJ;Kyrgyzstan
AV8 Helicopters;\N;;AVK;South Africa
Aviacion Ejecutiva Mexicana;\N;;AVM;AVEMEX
Air Vanuatu;\N;NF;AVN;Vanuatu
Aviation at Work;\N;;AVO;South Africa
Avcorp Registrations;\N;;AVP;United Kingdom
Alfa Aerospace;\N;;LFP;Australia
Atlantic Airfreight Aviation;\N;;LFR;Sao Tome and Principe
Aerolift Company;\N;;LFT;Sierra Leone
Aviation Services;\N;;AVQ;AQUILINE
Active Aero Charter;\N;;AVR;ACTIVE AERO
Avialsa T-35;\N;;AVS;Spain
Asia Avia Airlines;\N;;AVT;Indonesia
Avia Sud A;\N;;AVU;France
Airvantage Incorporated;\N;;AVV;United States
Aviator Airways;\N;;AVW;Greece
Aviapaslauga;\N;;AVX;Lithuania
ASL;\N;;XXX;Belgium
Air Yugoslavia;\N;;YRG;Serbia
Airlink Zambia;\N;K8;ZAK;Zambia
Agence Nationale des Aerodromes et de la Meteorologie;\N;;ZZM;Ivory Coast
Airbus Transport International;\N;;BGA;France
Air Bangladesh;\N;B9;BGD;Bangladesh
Aviodetachment-28;\N;;BGF;Bulgaria
Aero BG;\N;;BGG;Mexico
Aerotaxis De La Bahia;\N;;BHC;Mexico
Air Mediterranee;\N;DR;BIE;France
Aviaservice;\N;;BIV;Georgia
Aerolineas De El Salvador;\N;;SZA;El Salvador
Swaziland Airlink;\N;;SZL;Swaziland
Air Moorea;\N;;TAH;France
Aerovaradero;\N;;AVY;AEROVARADERO
Air Valencia;\N;;AVZ;Spain
Airways International;\N;;AWB;AIRNAT
Airwork;\N;;AWK;New Zealand
Australian Wetleasing;\N;;AWL;Australia
Air Niamey;\N;;AWN;Niger
Awood Air Ltd.;\N;;AWO;Canada
Arctic Wings And Rotors Ltd.;\N;;AWR;Canada
Auo Airclub AIST-M;\N;;ISM;Russia
Arab Wings;\N;;AWS;Jordan
Air West;\N;;AWT;Canada
Aeroline GmbH;\N;7E;AWU;Germany
Airwave Transport;\N;;AWV;AIRWAVE
Air Wales;\N;6G;AWW;United Kingdom
Aeroway;\N;;AWY;AEROWEE
Air Caraïbes;\N;TX;FWI;France
AirWest;\N;;AWZ;Sudan
Air India Express;\N;IX;AXB;India
Air Express;\N;;AXD;Sudan
Asian Express Airlines;\N;HJ;AXF;Australia
Aeromexhaga;\N;;AXH;Mexico
Aeron International Airlines;\N;;AXI;AIR FREIGHTER
African Express Airways;\N;;AXK;Kenya
Air Exel;\N;XT;AXL;Netherlands
AirAsia;Air Asia;AK;AXM;Malaysia
Alexandair;\N;;AXN;Greece
Aeromax;\N;;AXP;Spain
Action Airlines (Action Air Charter);\N;;AXQ;United States
Alberni Airways;\N;;BNI;Canada
Aerolineas Bonanza;\N;;BNZ;Mexico
Aerobona;\N;;BOC;Mexico
Aboitiz Air;\N;;BOI;Philippines
Axel Rent;\N;;AXR;RENTAXEL
Altus Airlines;\N;;AXS;United States
Aviaxess;\N;;AXV;France
Avioimpex A.D.p.o.;\N;;AXX;Macedonia
Axis Airways;\N;6V;AXY;France
Aladia Airlines;\N;;AYD;Mexico
Aykavia Aircompany;\N;;AYK;Armenia
Airman;\N;;AYM;AIRMAN
Atlantic Airlines;\N;;AYN;ATLANTIC NICARAGUA
Awsaj Aviation Services;\N;;AYS;Libya
Ayeet Aviation & Tourism;\N;;AYT;Israel
Atlant-Soyuz Airlines;\N;3G;AYZ;Russia
Alitalia;\N;AZ;AZA;Italy
Azamat;\N;;AZB;Kazakhstan
Arcus-Air Logistic;\N;ZE;AZE;Germany
Air Zermatt AG;\N;;AZF;Switzerland
Azalhelikopter;\N;;AZK;Azerbaijan
Africa One;\N;;AZL;Zambia
Aerocozumel;\N;;AZM;Mexico
Amaszonas;\N;Z8;AZN;Bolivia
Arizona Pacific Airways;\N;;AZP;United States
Aviacon Zitotrans Air Company;\N;;AZS;Russia
Azimut;\N;;AZT;AZIMUT
